backend,batch,heads,seq_len,head_dim,dtype,causal,avg_ms,tflops,max_abs_err,error
torch_matmul_softmax,1,32,256,128,fp16,True,0.08589856147766113,6.274471361667269,,
torch_sdpa,1,32,256,128,fp16,True,0.02930527925491333,18.39150070237384,,
triton_v0_baseline,1,32,256,128,fp16,True,0.052128958702087405,10.339129678000225,,
triton_v1_codegen_hints,1,32,256,128,fp16,True,,,,"out of resource: shared memory, Required: 131072, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
triton_v2_autotune,1,32,256,128,fp16,True,0.04989855766296387,10.801275412416127,,
triton_v3_fixed_best,1,32,256,128,fp16,True,,,,"out of resource: shared memory, Required: 131072, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
triton_v4_causal_cutoff,1,32,256,128,fp16,True,,,,"out of resource: shared memory, Required: 131072, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
triton_v5_even_fastpath,1,32,256,128,fp16,True,,,,"out of resource: shared memory, Required: 131072, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
triton_v6_autotune_cutoff,1,32,256,128,fp16,True,0.03500479936599731,15.396976236451126,,
triton_v7_fixed_best_cutoff,1,32,256,128,fp16,True,0.047300162315368655,11.394634555511447,,
triton_v8_dispatch_fixed_best,1,32,256,128,fp16,True,0.03492928028106689,15.430265372291192,,
flash_attn,1,32,512,128,fp16,True,0.07808896064758301,27.554188635069224,,
torch_matmul_softmax,1,32,512,128,fp16,True,0.30033695220947265,7.164213181797534,,
torch_sdpa,1,32,512,128,fp16,True,0.08046655654907227,26.74002771185823,,
triton_v0_baseline,1,32,512,128,fp16,True,0.1409177589416504,15.26903328693257,,
triton_v1_codegen_hints,1,32,512,128,fp16,True,,,,"out of resource: shared memory, Required: 131072, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
triton_v2_autotune,1,32,512,128,fp16,True,0.13729472160339357,15.671964128494334,,
triton_v3_fixed_best,1,32,512,128,fp16,True,,,,"out of resource: shared memory, Required: 131072, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
triton_v4_causal_cutoff,1,32,512,128,fp16,True,,,,"out of resource: shared memory, Required: 131072, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
triton_v5_even_fastpath,1,32,512,128,fp16,True,,,,"out of resource: shared memory, Required: 131072, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
triton_v6_autotune_cutoff,1,32,512,128,fp16,True,0.09520799636840821,22.59976088220639,,
triton_v7_fixed_best_cutoff,1,32,512,128,fp16,True,0.14052000045776367,15.312254091877357,,
triton_v8_dispatch_fixed_best,1,32,512,128,fp16,True,0.09510016441345215,22.625386246920513,,
flash_attn,1,32,1024,128,fp16,True,0.2527948760986328,34.013043827063946,,
torch_matmul_softmax,1,32,1024,128,fp16,True,1.6813679504394532,5.11388551075491,,
torch_sdpa,1,32,1024,128,fp16,True,0.2566988754272461,33.49575718120723,,
triton_v0_baseline,1,32,1024,128,fp16,True,0.5325763320922852,16.14477152264828,,
triton_v1_codegen_hints,1,32,1024,128,fp16,True,,,,"out of resource: shared memory, Required: 131072, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
triton_v2_autotune,1,32,1024,128,fp16,True,0.5221468734741211,16.467250187271596,,
