backend,batch,heads,seq_len,head_dim,dtype,causal,avg_ms,tflops,max_abs_err,error
triton_v3_fixed_best,1,32,256,128,fp16,True,,,,"out of resource: shared memory, Required: 131072, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
triton_v4_causal_cutoff,1,32,256,128,fp16,True,,,,"out of resource: shared memory, Required: 131072, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
triton_v5_even_fastpath,1,32,256,128,fp16,True,,,,"out of resource: shared memory, Required: 131072, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
triton_v6_autotune_cutoff,1,32,256,128,fp16,True,0.03588576078414917,15.01899506163078,,
triton_v7_fixed_best_cutoff,1,32,256,128,fp16,True,0.047337918281555175,11.3855463773109,,
flash_attn,1,32,512,128,fp16,True,0.07847968101501465,27.417006850325286,,
torch_matmul_softmax,1,32,512,128,fp16,True,0.3000022315979004,7.1722064883968635,,
torch_sdpa,1,32,512,128,fp16,True,0.08020223617553711,26.828154108953562,,
triton_v0_baseline,1,32,512,128,fp16,True,0.1409987163543701,15.26026624662467,,
triton_v1_codegen_hints,1,32,512,128,fp16,True,,,,"out of resource: shared memory, Required: 131072, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
triton_v2_autotune,1,32,512,128,fp16,True,0.13778623580932617,15.616058740276305,,
triton_v3_fixed_best,1,32,512,128,fp16,True,,,,"out of resource: shared memory, Required: 131072, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
triton_v4_causal_cutoff,1,32,512,128,fp16,True,,,,"out of resource: shared memory, Required: 131072, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
triton_v5_even_fastpath,1,32,512,128,fp16,True,,,,"out of resource: shared memory, Required: 131072, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
triton_v6_autotune_cutoff,1,32,512,128,fp16,True,0.0952137565612793,22.598393653496764,,
triton_v7_fixed_best_cutoff,1,32,512,128,fp16,True,0.1407414436340332,15.28816172722343,,
flash_attn,1,32,1024,128,fp16,True,0.25256736755371095,34.04368221944381,,
torch_matmul_softmax,1,32,1024,128,fp16,True,1.6811952209472656,5.114410921984,,
torch_sdpa,1,32,1024,128,fp16,True,0.257289924621582,33.41881036595692,,
triton_v0_baseline,1,32,1024,128,fp16,True,0.5324953460693359,16.147226944741064,,
triton_v1_codegen_hints,1,32,1024,128,fp16,True,,,,"out of resource: shared memory, Required: 131072, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
triton_v2_autotune,1,32,1024,128,fp16,True,0.5228364944458008,16.445529895754692,,
triton_v3_fixed_best,1,32,1024,128,fp16,True,,,,"out of resource: shared memory, Required: 131072, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
triton_v4_causal_cutoff,1,32,1024,128,fp16,True,,,,"out of resource: shared memory, Required: 131072, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
triton_v5_even_fastpath,1,32,1024,128,fp16,True,,,,"out of resource: shared memory, Required: 131072, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
triton_v6_autotune_cutoff,1,32,1024,128,fp16,True,0.2901148796081543,29.63764978760616,,
triton_v7_fixed_best_cutoff,1,32,1024,128,fp16,True,0.4693132781982422,18.321073788941444,,
flash_attn,1,32,2048,128,fp16,True,0.9075574493408203,37.87806007098333,,
torch_sdpa,1,32,2048,128,fp16,True,0.920928955078125,37.328086378914804,,
triton_v0_baseline,1,32,2048,128,fp16,True,2.0760758972167968,16.558409849122288,,
triton_v1_codegen_hints,1,32,2048,128,fp16,True,,,,"out of resource: shared memory, Required: 131072, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
triton_v2_autotune,1,32,2048,128,fp16,True,2.0486431884765626,16.78013808229997,,
triton_v3_fixed_best,1,32,2048,128,fp16,True,,,,"out of resource: shared memory, Required: 131072, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
triton_v4_causal_cutoff,1,32,2048,128,fp16,True,,,,"out of resource: shared memory, Required: 131072, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
triton_v5_even_fastpath,1,32,2048,128,fp16,True,,,,"out of resource: shared memory, Required: 131072, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
triton_v6_autotune_cutoff,1,32,2048,128,fp16,True,0.9812268829345703,35.03421704182179,,
triton_v7_fixed_best_cutoff,1,32,2048,128,fp16,True,1.7011660766601562,20.207618794921125,,
flash_attn,1,32,4096,128,fp16,True,3.395478515625,40.4869320395908,,
torch_sdpa,1,32,4096,128,fp16,True,3.4482421875,39.867416622400455,,
triton_v0_baseline,1,32,4096,128,fp16,True,7.89596435546875,17.410477265995567,,
triton_v1_codegen_hints,1,32,4096,128,fp16,True,,,,"out of resource: shared memory, Required: 131072, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
triton_v2_autotune,1,32,4096,128,fp16,True,7.778961791992187,17.672346462161165,,
triton_v3_fixed_best,1,32,4096,128,fp16,True,,,,"out of resource: shared memory, Required: 131072, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
triton_v4_causal_cutoff,1,32,4096,128,fp16,True,,,,"out of resource: shared memory, Required: 131072, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
triton_v5_even_fastpath,1,32,4096,128,fp16,True,,,,"out of resource: shared memory, Required: 131072, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
triton_v6_autotune_cutoff,1,32,4096,128,fp16,True,3.5570950317382812,38.64740938248701,,
triton_v7_fixed_best_cutoff,1,32,4096,128,fp16,True,6.442252197265625,21.339199971455535,,
