backend,batch,heads,seq_len,head_dim,dtype,causal,avg_ms,tflops,max_abs_err,config,error
triton_v6_autotune_cutoff,1,32,1024,64,fp16,True,0.13984319686889649,30.742729687669254,,"BLOCK_M: 64, BLOCK_N: 32, num_warps: 4, num_ctas: 1, num_stages: 3, maxnreg: None",
triton_v7_fixed_best_cutoff,1,32,1024,64,fp16,True,0.13968544006347655,30.777449661513423,,"KernelConfig(block_m=64, block_n=32, num_warps=4, num_stages=3)",
triton_v8_dispatch_fixed_best,1,32,1024,64,fp16,True,0.1402575969696045,30.65189831344166,,"KernelConfig(block_m=64, block_n=32, num_warps=4, num_stages=3)",
triton_v9_autotune_table,1,32,1024,64,fp16,True,0.1395308780670166,30.811542646030755,,"KernelConfig(block_m=64, block_n=32, num_warps=4, num_stages=3)",
flash_attn,1,32,2048,64,fp16,True,0.512072639465332,33.56605385116201,,,
torch_sdpa_auto,1,32,2048,64,fp16,True,0.5104767990112304,33.67098725210008,,,
torch_sdpa_cudnn,1,32,2048,64,fp16,True,0.5126150512695312,33.53053670474937,,,
torch_sdpa_efficient_cutlass,1,32,2048,64,fp16,True,0.5865446472167969,29.30426161684317,,,
torch_sdpa_flash_pytorch,1,32,2048,64,fp16,True,0.5087337493896484,33.78635251272704,,,
triton_v0_baseline,1,32,2048,64,fp16,True,0.9389974212646485,18.304904148565956,,,
triton_v1_codegen_hints,1,32,2048,64,fp16,True,1.0868041229248047,15.815414599038327,,,
triton_v2_autotune,1,32,2048,64,fp16,True,0.8716537475585937,19.719134851588056,,"BLOCK_M: 64, BLOCK_N: 32, num_warps: 4, num_ctas: 1, num_stages: 3, maxnreg: None",
triton_v3_fixed_best,1,32,2048,64,fp16,True,1.0880166625976562,15.797789117459631,,"KernelConfig(block_m=128, block_n=64, num_warps=8, num_stages=4)",
triton_v4_causal_cutoff,1,32,2048,64,fp16,True,0.5903324890136719,29.116232143547034,,,
triton_v5_even_fastpath,1,32,2048,64,fp16,True,0.5845516967773438,29.404170557984067,,,
triton_v6_autotune_cutoff,1,32,2048,64,fp16,True,0.4824812698364258,35.624715126925615,,"BLOCK_M: 64, BLOCK_N: 32, num_warps: 4, num_ctas: 1, num_stages: 3, maxnreg: None",
triton_v7_fixed_best_cutoff,1,32,2048,64,fp16,True,0.4844028854370117,35.48339266495769,,"KernelConfig(block_m=64, block_n=32, num_warps=4, num_stages=3)",
triton_v8_dispatch_fixed_best,1,32,2048,64,fp16,True,0.4857020950317383,35.3884777682024,,"KernelConfig(block_m=64, block_n=32, num_warps=4, num_stages=3)",
triton_v9_autotune_table,1,32,2048,64,fp16,True,0.4809939193725586,35.73487543131843,,"KernelConfig(block_m=64, block_n=32, num_warps=4, num_stages=2)",
flash_attn,1,32,4096,64,fp16,True,1.8494093322753906,37.166598411954304,,,
torch_sdpa_auto,1,32,4096,64,fp16,True,1.8430947875976562,37.293933233674245,,,
torch_sdpa_cudnn,1,32,4096,64,fp16,True,1.8463414001464844,37.22835546370061,,,
torch_sdpa_efficient_cutlass,1,32,4096,64,fp16,True,2.1491600036621095,31.982846244521262,,,
torch_sdpa_flash_pytorch,1,32,4096,64,fp16,True,1.842512969970703,37.30570968685932,,,
triton_v0_baseline,1,32,4096,64,fp16,True,3.565476379394531,19.278280554384825,,,
